308,136,69,71
302,134,70,80
301,137,72,83
293,137,80,77
291,142,81,62
294,146,72,51
297,148,56,49
297,148,44,48
292,150,53,45
288,151,60,44
282,154,57,41
282,152,57,38
285,149,58,46
287,147,49,42
287,147,57,43
287,147,51,41
287,149,47,39
294,154,43,39
286,151,48,43
293,150,41,43
296,150,40,44
299,154,36,53
299,156,36,52
300,160,36,43
302,161,35,40
305,162,35,42
310,166,36,37
315,166,31,31
318,169,31,25
318,167,30,21
317,165,28,18
314,164,28,17
313,164,31,15
311,163,30,16
310,162,30,18
310,161,25,20
308,160,26,20
307,160,28,21
306,160,28,20
307,163,29,21
305,161,29,18
305,160,27,19
305,161,27,20
304,159,28,22
302,167,33,15
303,171,33,21
303,170,34,27
304,166,33,33
303,164,37,41
303,160,35,48
301,157,40,54
302,151,39,59
306,149,32,60
307,146,26,58
306,145,32,55
307,151,31,45
306,152,29,38
305,153,28,31
302,153,34,28
301,155,35,27
299,155,36,30
298,156,38,32
299,158,39,30
301,158,37,33
303,158,37,32
307,158,38,30
313,157,32,31
320,153,26,29
326,151,22,30
330,151,20,29
332,150,19,30
334,152,18,28
336,154,20,25
335,155,22,25
334,160,24,21
335,162,23,21
335,162,23,22
334,161,24,22
335,160,23,23
334,162,23,22
333,164,24,21
333,164,24,21
333,164,24,22
332,164,24,22
332,164,26,21
333,164,24,22
334,164,24,23
333,166,23,22
333,167,25,21
332,169,25,21
332,169,25,22
333,169,24,23
333,168,23,25
334,167,22,23
334,166,24,24
332,165,26,23
334,161,21,22
331,148,22,24
328,141,21,24
326,135,20,27
325,132,19,26
327,125,17,31
325,122,17,34
320,118,18,37
316,123,20,41
312,123,25,44
313,124,27,55
311,123,34,58
309,122,37,65
313,115,33,75
313,115,33,78
312,113,35,82
313,111,36,92
317,109,34,106
320,107,32,111
320,108,35,108
317,108,40,105
314,106,47,107
310,105,62,110
310,106,60,108
307,104,64,107
311,107,52,105
310,106,51,107
310,106,51,108
309,106,53,105
308,106,56,106
309,105,51,107
311,104,46,108
314,105,44,107
314,106,37,105
318,106,35,108
321,105,34,108
320,107,39,106
324,105,38,110
324,106,41,110
322,108,55,104
323,106,47,109
319,108,45,108
309,116,56,101
303,116,60,105
302,118,55,103
302,118,51,100
303,117,57,105
304,120,54,99
305,119,57,103
305,118,61,95
302,119,59,102
304,114,62,110
306,118,52,108
305,111,65,116
309,111,53,120
307,101,68,130
307,98,61,127
309,97,55,134
310,89,66,147
312,97,54,137
312,90,52,146
312,90,58,150
313,87,57,156
312,89,59,153
314,95,59,146
309,100,64,138
309,100,65,135
308,102,64,137
310,105,64,125
311,102,57,134
311,102,59,135
314,99,57,130
313,87,57,144
307,92,64,140
297,88,72,139
290,89,76,126
281,88,85,120
281,88,85,114
277,86,89,116
270,83,98,121
272,89,96,114
277,92,91,115
277,93,85,112
273,94,86,113
270,95,92,111
271,96,91,106
267,93,93,110
266,95,97,106
262,97,104,101
257,93,109,111
246,91,121,110
253,87,112,116
257,75,105,130
261,72,108,132
267,70,107,127
273,67,101,128
288,67,84,134
302,71,73,139
303,74,72,140
301,75,70,136
297,73,80,138
300,70,69,152
296,71,76,152
291,76,74,155
285,76,80,166
275,88,82,143
272,104,83,113
276,113,70,102
275,121,71,92
279,134,58,74
276,143,58,62
275,150,59,53
277,153,56,50
277,159,55,43
278,162,52,41
277,161,53,42
278,161,56,46
277,162,58,45
276,162,60,44
277,163,60,44
275,163,65,44
273,164,71,44
274,166,77,42
271,167,87,40
272,169,91,40
270,169,88,41
268,170,96,41
270,172,96,40
270,172,97,40
274,172,95,43
271,172,94,41
272,171,97,45
271,171,98,44
268,169,104,45
268,169,102,44
270,166,102,45
268,168,93,39
270,167,88,40
271,164,82,42
272,164,86,41
271,164,84,44
273,164,77,48
272,164,74,48
270,162,72,52
269,162,72,52
270,161,69,54
269,160,70,52
268,159,72,56
271,159,67,56
270,157,69,52
271,158,69,53
270,156,70,55
270,157,67,55
271,158,65,52
269,156,68,51
270,154,68,52
270,154,69,52
270,153,67,46
270,153,67,52
