375,92,103,115
378,97,93,101
375,98,97,96
376,98,97,97
376,90,98,115
375,90,96,114
373,95,100,106
373,93,101,109
375,97,100,113
374,96,99,106
376,102,92,95
375,100,100,90
372,94,99,102
369,90,102,110
366,90,100,108
370,93,93,98
369,93,94,102
362,90,109,102
365,87,102,107
369,93,93,92
370,95,99,97
373,103,96,93
361,106,96,95
351,107,92,92
351,114,93,90
350,111,91,90
342,110,87,91
327,113,100,97
323,114,101,106
323,113,100,118
318,117,103,116
323,123,90,115
324,125,87,120
323,125,94,120
325,127,100,119
346,126,95,110
351,122,91,122
375,123,87,133
388,127,101,119
393,125,102,119
401,120,98,125
417,121,108,120
409,134,122,102
405,135,123,95
414,140,102,92
408,138,105,103
411,143,98,93
402,135,106,117
394,143,104,105
393,149,102,91
385,140,109,105
382,142,108,97
377,137,109,92
381,138,108,88
383,140,98,84
376,130,107,93
391,124,100,100
407,127,84,88
407,117,92,101
429,107,93,106
447,98,99,109
462,92,106,114
485,80,107,107
491,77,115,105
500,70,121,117
502,74,114,107
502,65,119,118
501,71,121,102
499,64,124,117
508,61,109,136
500,69,110,121
503,81,112,115
490,77,119,123
492,84,109,109
484,94,123,95
477,88,141,102
465,99,138,109
469,97,128,112
447,101,142,107
428,105,142,102
421,110,130,111
404,111,124,106
379,111,122,100
373,122,120,93
363,136,100,74
339,134,99,77
334,136,97,90
325,133,97,99
320,128,80,112
303,126,92,124
294,123,101,131
290,123,100,131
287,123,106,133
295,121,105,148
300,125,107,139
305,123,107,144
307,127,113,129
306,120,115,126
319,126,109,120
319,120,118,133
336,123,101,118
363,122,101,139
408,116,91,151
444,114,101,129
443,112,123,143
447,109,134,140
440,112,156,114
431,95,145,127
433,99,120,113
417,91,118,128
416,90,109,113
394,81,111,115
391,86,127,116
368,74,138,113
367,85,133,104
348,79,132,115
334,69,122,114
322,66,115,128
302,63,117,121
304,77,122,111
299,78,123,113
310,105,103,92
306,108,110,99
314,109,111,107
319,117,95,100
323,123,88,95
316,121,96,103
314,129,96,88
315,121,108,108
317,128,106,92
315,127,105,100
319,128,93,100
314,135,107,94
318,140,96,74
318,138,100,81
316,134,116,86
322,116,101,100
321,97,111,111
318,89,121,111
296,79,121,123
289,89,124,99
290,76,116,108
297,53,108,104
296,43,128,122
301,31,137,126
314,27,123,136
325,26,113,123
327,22,130,129
344,27,127,131
359,28,108,126
368,23,118,124
360,21,122,126
349,29,115,110
344,29,102,115
342,47,119,108
352,58,93,107
350,83,95,88
360,95,94,82
348,95,95,84
349,77,80,89
328,54,93,93
319,31,94,93
324,17,85,83
336,11,91,78
359,8,85,81
370,-5,85,93
397,2,72,88
401,-9,70,83
401,-9,70,83
401,-9,70,83
434,0,80,73
442,2,66,63
451,11,73,55
459,22,82,61
453,33,92,65
446,40,103,78
443,47,108,81
440,58,100,84
441,71,95,72
439,81,106,76
435,95,92,76
434,94,97,84
436,97,103,87
434,101,103,77
432,93,108,89
437,99,101,79
434,95,104,80
433,104,105,75
439,100,94,80
435,102,99,80
437,103,101,84
440,109,96,79
