
2025-12-03 11:48:21.931154
2025-12-03 15:38:01.448788
2025-12-03 15:39:29.648730
2025-12-03 16:17:34.8186710.0; F1=0.667, Pr=0.605, Re=0.744; {'seq_avg': {'precision': 0.6047846378449483, 'recall': 0.7443151255902873, 'f1': 0.667334419400406}, 'frame_avg': {'precision': 0.5451762417742807, 'recall': 0.7288334589698913, 'f1': 0.6237671280029653}}
0.05; F1=0.667, Pr=0.605, Re=0.744; {'seq_avg': {'precision': 0.6046977121266074, 'recall': 0.7442660460890964, 'f1': 0.6672617741471261}, 'frame_avg': {'precision': 0.5450392038415777, 'recall': 0.728794895214503, 'f1': 0.623663300811091}}
0.1; F1=0.667, Pr=0.604, Re=0.744; {'seq_avg': {'precision': 0.6043001109180577, 'recall': 0.7439423476689392, 'f1': 0.666889609283094}, 'frame_avg': {'precision': 0.5445338307306634, 'recall': 0.7284528062179407, 'f1': 0.6232071658304015}}
0.15; F1=0.666, Pr=0.603, Re=0.743; {'seq_avg': {'precision': 0.6032651633419472, 'recall': 0.7428219392845327, 'f1': 0.6658092149640218}, 'frame_avg': {'precision': 0.5432415422499615, 'recall': 0.7263423224488462, 'f1': 0.6215884344783145}}
0.2; F1=0.663, Pr=0.600, Re=0.740; {'seq_avg': {'precision': 0.6003020627922004, 'recall': 0.7398733073897619, 'f1': 0.6628199301568387}, 'frame_avg': {'precision': 0.5404843858672036, 'recall': 0.7221395914036085, 'f1': 0.6182445139586615}}
0.25; F1=0.658, Pr=0.596, Re=0.736; {'seq_avg': {'precision': 0.5957599746910934, 'recall': 0.7358852403666504, 'f1': 0.6584501145184892}, 'frame_avg': {'precision': 0.5368966905449636, 'recall': 0.7187024245976539, 'f1': 0.6146371857060327}}
0.3; F1=0.651, Pr=0.588, Re=0.729; {'seq_avg': {'precision': 0.5881623071245972, 'recall': 0.7291588744932718, 'f1': 0.6511149624962805}, 'frame_avg': {'precision': 0.5313707205080401, 'recall': 0.7144103598275049, 'f1': 0.6094437516063441}}
0.35; F1=0.643, Pr=0.579, Re=0.722; {'seq_avg': {'precision': 0.579141357668902, 'recall': 0.7218972099475248, 'f1': 0.6426873740297309}, 'frame_avg': {'precision': 0.5241427616406166, 'recall': 0.7088345862972253, 'f1': 0.6026558691116223}}
0.4; F1=0.630, Pr=0.566, Re=0.710; {'seq_avg': {'precision': 0.5658519412280759, 'recall': 0.7095406263196657, 'f1': 0.6296021334907748}, 'frame_avg': {'precision': 0.5140146236547156, 'recall': 0.700023206918309, 'f1': 0.5927692798235884}}
0.45; F1=0.611, Pr=0.547, Re=0.692; {'seq_avg': {'precision': 0.5473246555923416, 'recall': 0.6917760599788627, 'f1': 0.6111304577859402}, 'frame_avg': {'precision': 0.5002380046346163, 'recall': 0.6876553631637605, 'f1': 0.5791619956307698}}
0.5; F1=0.586, Pr=0.523, Re=0.667; {'seq_avg': {'precision': 0.5233623632673874, 'recall': 0.6668068786342463, 'f1': 0.5864403339601882}, 'frame_avg': {'precision': 0.48349300611263757, 'recall': 0.6711295663973553, 'f1': 0.5620649713146327}}
