
2025-12-03 11:48:23.825824
2025-12-03 15:38:03.351967
2025-12-03 15:39:31.635330
2025-12-03 18:07:29.9735240.0; F1=0.667, Pr=0.620, Re=0.723; {'seq_avg': {'precision': 0.619950071145435, 'recall': 0.7225732584790594, 'f1': 0.667339379684637}, 'frame_avg': {'precision': 0.5490742859992602, 'recall': 0.6968293113297754, 'f1': 0.6141904677087264}}
0.05; F1=0.667, Pr=0.620, Re=0.721; {'seq_avg': {'precision': 0.6196756583011908, 'recall': 0.7209969699973615, 'f1': 0.6665076359219667}, 'frame_avg': {'precision': 0.5480584090147489, 'recall': 0.6907360861386818, 'f1': 0.6111808244213316}}
0.1; F1=0.664, Pr=0.618, Re=0.717; {'seq_avg': {'precision': 0.6184283635539979, 'recall': 0.7174101665102055, 'f1': 0.664252131207181}, 'frame_avg': {'precision': 0.5454829637488245, 'recall': 0.6784795028393485, 'f1': 0.6047554890850491}}
0.15; F1=0.662, Pr=0.616, Re=0.714; {'seq_avg': {'precision': 0.6159979099774707, 'recall': 0.7143365507312915, 'f1': 0.6615326224603042}, 'frame_avg': {'precision': 0.5428719324900884, 'recall': 0.6727995163444741, 'f1': 0.600892574990509}}
0.2; F1=0.658, Pr=0.612, Re=0.711; {'seq_avg': {'precision': 0.6120987370570053, 'recall': 0.7110595626110504, 'f1': 0.6578784418398314}, 'frame_avg': {'precision': 0.5388152785935454, 'recall': 0.6687937719820812, 'f1': 0.5968095426253778}}
0.25; F1=0.653, Pr=0.607, Re=0.706; {'seq_avg': {'precision': 0.6068086394017485, 'recall': 0.7059875788638573, 'f1': 0.6526517310217265}, 'frame_avg': {'precision': 0.5343581777467792, 'recall': 0.6647707057571872, 'f1': 0.5924728656520196}}
0.3; F1=0.646, Pr=0.600, Re=0.700; {'seq_avg': {'precision': 0.5999045747519611, 'recall': 0.6999477839490371, 'f1': 0.6460762637660661}, 'frame_avg': {'precision': 0.528717942340465, 'recall': 0.6603170810855571, 'f1': 0.5872349956486188}}
0.35; F1=0.638, Pr=0.592, Re=0.693; {'seq_avg': {'precision': 0.5917987656104731, 'recall': 0.6926951327434719, 'f1': 0.6382842690452559}, 'frame_avg': {'precision': 0.5225294493336332, 'recall': 0.6550415095237763, 'f1': 0.5813296883514206}}
0.4; F1=0.626, Pr=0.580, Re=0.681; {'seq_avg': {'precision': 0.5796590021268581, 'recall': 0.6812665070596305, 'f1': 0.6263689025046605}, 'frame_avg': {'precision': 0.5134187795059932, 'recall': 0.647069683734866, 'f1': 0.572548091259279}}
0.45; F1=0.610, Pr=0.563, Re=0.666; {'seq_avg': {'precision': 0.5631938120459162, 'recall': 0.6655024465625974, 'f1': 0.6100887134301817}, 'frame_avg': {'precision': 0.5010753876474244, 'recall': 0.6359536279124105, 'f1': 0.5605146504992209}}
0.5; F1=0.589, Pr=0.542, Re=0.646; {'seq_avg': {'precision': 0.5421930897294016, 'recall': 0.6456768937561441, 'f1': 0.5894273865988066}, 'frame_avg': {'precision': 0.48614487498678705, 'recall': 0.6217628860587657, 'f1': 0.5456534400105796}}
0.55; F1=0.562, Pr=0.515, Re=0.618; {'seq_avg': {'precision': 0.5154129425381013, 'recall': 0.618278775575276, 'f1': 0.5621790790858334}, 'frame_avg': {'precision': 0.4669061212314389, 'recall': 0.6024135081909878, 'f1': 0.526073863693685}}
0.6; F1=0.530, Pr=0.484, Re=0.585; {'seq_avg': {'precision': 0.48407597831898325, 'recall': 0.5850629593447663, 'f1': 0.5298000371062905}, 'frame_avg': {'precision': 0.443861044887838, 'recall': 0.5780757270657301, 'f1': 0.5021549342024256}}
0.65; F1=0.489, Pr=0.445, Re=0.543; {'seq_avg': {'precision': 0.4447040393805087, 'recall': 0.5429710186766504, 'f1': 0.4889490795627282}, 'frame_avg': {'precision': 0.4152544940650254, 'recall': 0.5470932109308124, 'f1': 0.4721431003204134}}
0.7; F1=0.442, Pr=0.400, Re=0.495; {'seq_avg': {'precision': 0.4002042995802959, 'recall': 0.4947510903331171, 'f1': 0.4424835378498798}, 'frame_avg': {'precision': 0.38159905150703355, 'recall': 0.5096200514326948, 'f1': 0.43641463163034044}}
0.75; F1=0.389, Pr=0.349, Re=0.438; {'seq_avg': {'precision': 0.3493742571408327, 'recall': 0.4383375735553554, 'f1': 0.38883220530651985}, 'frame_avg': {'precision': 0.34158672806963064, 'recall': 0.46384812074435666, 'f1': 0.3934380592536392}}
0.8; F1=0.331, Pr=0.295, Re=0.377; {'seq_avg': {'precision': 0.2954208998959287, 'recall': 0.3771769523574286, 'f1': 0.3313300936425319}, 'frame_avg': {'precision': 0.2968096100791495, 'recall': 0.4107347552144538, 'f1': 0.34460036294846064}}
0.85; F1=0.271, Pr=0.239, Re=0.312; {'seq_avg': {'precision': 0.2391324907607205, 'recall': 0.31177431117060544, 'f1': 0.270664175225517}, 'frame_avg': {'precision': 0.24843227000097765, 'recall': 0.3505266898635097, 'f1': 0.2907783240388372}}
0.9; F1=0.209, Pr=0.183, Re=0.244; {'seq_avg': {'precision': 0.18266425009561044, 'recall': 0.24424465505508905, 'f1': 0.2090130527483366}, 'frame_avg': {'precision': 0.19728813171076498, 'recall': 0.28454808717894275, 'f1': 0.23301677333747908}}
0.95; F1=0.149, Pr=0.129, Re=0.177; {'seq_avg': {'precision': 0.12859000176245952, 'recall': 0.17665324113065498, 'f1': 0.14883763108419998}, 'frame_avg': {'precision': 0.1466509470201128, 'recall': 0.21499217237625434, 'f1': 0.174364194919649}}
1.0; F1=0.094, Pr=0.080, Re=0.114; {'seq_avg': {'precision': 0.0803259855196942, 'recall': 0.11364486659468202, 'f1': 0.094123790342368}, 'frame_avg': {'precision': 0.09840294561689276, 'recall': 0.14618506474260995, 'f1': 0.1176267058612189}}

2025-12-03 19:32:53.6057200.0; F1=0.667, Pr=0.620, Re=0.723; {'seq_avg': {'precision': 0.619950071145435, 'recall': 0.7225732584790594, 'f1': 0.667339379684637}, 'frame_avg': {'precision': 0.5490742859992602, 'recall': 0.6968293113297754, 'f1': 0.6141904677087264}}
0.05; F1=0.667, Pr=0.620, Re=0.721; {'seq_avg': {'precision': 0.6196756583011908, 'recall': 0.7209969699973615, 'f1': 0.6665076359219667}, 'frame_avg': {'precision': 0.5480584090147489, 'recall': 0.6907360861386818, 'f1': 0.6111808244213316}}
0.1; F1=0.664, Pr=0.618, Re=0.717; {'seq_avg': {'precision': 0.6184283635539979, 'recall': 0.7174101665102055, 'f1': 0.664252131207181}, 'frame_avg': {'precision': 0.5454829637488245, 'recall': 0.6784795028393485, 'f1': 0.6047554890850491}}
0.15; F1=0.662, Pr=0.616, Re=0.714; {'seq_avg': {'precision': 0.6159979099774707, 'recall': 0.7143365507312915, 'f1': 0.6615326224603042}, 'frame_avg': {'precision': 0.5428719324900884, 'recall': 0.6727995163444741, 'f1': 0.600892574990509}}
0.2; F1=0.658, Pr=0.612, Re=0.711; {'seq_avg': {'precision': 0.6120987370570053, 'recall': 0.7110595626110504, 'f1': 0.6578784418398314}, 'frame_avg': {'precision': 0.5388152785935454, 'recall': 0.6687937719820812, 'f1': 0.5968095426253778}}
0.25; F1=0.653, Pr=0.607, Re=0.706; {'seq_avg': {'precision': 0.6068086394017485, 'recall': 0.7059875788638573, 'f1': 0.6526517310217265}, 'frame_avg': {'precision': 0.5343581777467792, 'recall': 0.6647707057571872, 'f1': 0.5924728656520196}}
0.3; F1=0.646, Pr=0.600, Re=0.700; {'seq_avg': {'precision': 0.5999045747519611, 'recall': 0.6999477839490371, 'f1': 0.6460762637660661}, 'frame_avg': {'precision': 0.528717942340465, 'recall': 0.6603170810855571, 'f1': 0.5872349956486188}}
