
2025-12-03 11:48:22.572880
2025-12-03 15:38:02.095670
2025-12-03 15:39:30.312048
2025-12-03 17:29:47.6587590.0; F1=0.685, Pr=0.643, Re=0.733; {'seq_avg': {'precision': 0.642635982986105, 'recall': 0.7326322681446942, 'f1': 0.6846894886424987}, 'frame_avg': {'precision': 0.5819381918704087, 'recall': 0.7236207968924576, 'f1': 0.6450916148070083}}
0.05; F1=0.685, Pr=0.642, Re=0.733; {'seq_avg': {'precision': 0.6424679623482622, 'recall': 0.7325952869971993, 'f1': 0.6845779661220273}, 'frame_avg': {'precision': 0.5816831485290502, 'recall': 0.723569531763119, 'f1': 0.6449145207983019}}
0.1; F1=0.684, Pr=0.642, Re=0.732; {'seq_avg': {'precision': 0.6417534212775275, 'recall': 0.7320750958599939, 'f1': 0.6839451817161494}, 'frame_avg': {'precision': 0.5807273744964815, 'recall': 0.7228627172312336, 'f1': 0.6440462697023458}}
0.15; F1=0.682, Pr=0.640, Re=0.730; {'seq_avg': {'precision': 0.6397905050263524, 'recall': 0.7303180718174189, 'f1': 0.6820635618153893}, 'frame_avg': {'precision': 0.5785081078789144, 'recall': 0.72025846868455, 'f1': 0.6416478086539401}}
0.2; F1=0.678, Pr=0.636, Re=0.726; {'seq_avg': {'precision': 0.6360641598429913, 'recall': 0.7262997979206273, 'f1': 0.6781936179768995}, 'frame_avg': {'precision': 0.5743865662693812, 'recall': 0.7145475829823099, 'f1': 0.6368463941522127}}
0.25; F1=0.673, Pr=0.630, Re=0.721; {'seq_avg': {'precision': 0.6304061513253535, 'recall': 0.7208920709608747, 'f1': 0.6726195424227345}, 'frame_avg': {'precision': 0.5689981485649749, 'recall': 0.7097741642904498, 'f1': 0.6316373623678507}}
0.3; F1=0.664, Pr=0.621, Re=0.712; {'seq_avg': {'precision': 0.6210543893576437, 'recall': 0.7124544190989631, 'f1': 0.6636220794233466}, 'frame_avg': {'precision': 0.5620385542257886, 'recall': 0.7040520646032042, 'f1': 0.6250806989712213}}
0.35; F1=0.652, Pr=0.609, Re=0.702; {'seq_avg': {'precision': 0.6090370653452363, 'recall': 0.702365950604205, 'f1': 0.6523805300915886}, 'frame_avg': {'precision': 0.5533069346640701, 'recall': 0.6969653829525566, 'f1': 0.6168828569180512}}
0.4; F1=0.636, Pr=0.592, Re=0.687; {'seq_avg': {'precision': 0.5916200823422445, 'recall': 0.686943427754595, 'f1': 0.6357283374399686}, 'frame_avg': {'precision': 0.5412112498718691, 'recall': 0.6863709443077903, 'f1': 0.6052086424938623}}
0.45; F1=0.613, Pr=0.569, Re=0.665; {'seq_avg': {'precision': 0.5690114725023688, 'recall': 0.6653182815374791, 'f1': 0.613407776684228}, 'frame_avg': {'precision': 0.5256121953319569, 'recall': 0.6717252022654598, 'f1': 0.5897534962676636}}
0.5; F1=0.585, Pr=0.541, Re=0.636; {'seq_avg': {'precision': 0.5406095112766125, 'recall': 0.6364764439919166, 'f1': 0.5846390703847111}, 'frame_avg': {'precision': 0.5048123491043323, 'recall': 0.6508970517352883, 'f1': 0.5686219554376933}}
0.55; F1=0.551, Pr=0.508, Re=0.602; {'seq_avg': {'precision': 0.5080113551762673, 'recall': 0.6017728318111059, 'f1': 0.5509313168833215}, 'frame_avg': {'precision': 0.47999786135369216, 'recall': 0.6248851630014743, 'f1': 0.5429417145899486}}
0.6; F1=0.509, Pr=0.468, Re=0.559; {'seq_avg': {'precision': 0.4675548707439028, 'recall': 0.5585162889099032, 'f1': 0.5090037056645098}, 'frame_avg': {'precision': 0.44837283234373776, 'recall': 0.5915796006612005, 'f1': 0.5101160643257618}}
0.65; F1=0.460, Pr=0.421, Re=0.508; {'seq_avg': {'precision': 0.4206380544343521, 'recall': 0.5075152199982472, 'f1': 0.46001069137290945}, 'frame_avg': {'precision': 0.4116253434580037, 'recall': 0.5515925266972458, 'f1': 0.47143947446495466}}
0.7; F1=0.402, Pr=0.365, Re=0.448; {'seq_avg': {'precision': 0.36529475378643816, 'recall': 0.448114462281032, 'f1': 0.40248833903921183}, 'frame_avg': {'precision': 0.36787811989576147, 'recall': 0.5028247667770638, 'f1': 0.42489403140908216}}
0.75; F1=0.341, Pr=0.307, Re=0.384; {'seq_avg': {'precision': 0.3068621873806516, 'recall': 0.3840234084300148, 'f1': 0.34113394122201895}, 'frame_avg': {'precision': 0.3189537396353607, 'recall': 0.44667450075786774, 'f1': 0.37216104344141626}}
0.8; F1=0.274, Pr=0.243, Re=0.313; {'seq_avg': {'precision': 0.24337890127309758, 'recall': 0.31277473539281136, 'f1': 0.2737472756709294}, 'frame_avg': {'precision': 0.2647554731951318, 'recall': 0.3817107374371998, 'f1': 0.3126536399017612}}
0.85; F1=0.208, Pr=0.182, Re=0.242; {'seq_avg': {'precision': 0.18219341781696108, 'recall': 0.24185390243575636, 'f1': 0.20782675419752483}, 'frame_avg': {'precision': 0.2102515649516931, 'recall': 0.31214139531372526, 'f1': 0.25125995885385327}}
0.9; F1=0.149, Pr=0.128, Re=0.176; {'seq_avg': {'precision': 0.1284064879282426, 'recall': 0.17631042656558088, 'f1': 0.14859301590148818}, 'frame_avg': {'precision': 0.15717654397544073, 'recall': 0.24019480244831562, 'f1': 0.19001364476557014}}
