
2025-12-03 19:13:46.6919320.0; F1=0.807, Pr=0.764, Re=0.855; {'seq_avg': {'precision': 0.7644355521637825, 'recall': 0.8547183642589501, 'f1': 0.8070599071524343}, 'frame_avg': {'precision': 0.7207860318934889, 'recall': 0.8479616518373444, 'f1': 0.779218889773427}}
0.05; F1=0.807, Pr=0.764, Re=0.855; {'seq_avg': {'precision': 0.7643549294512488, 'recall': 0.8546895109323426, 'f1': 0.8070021112905752}, 'frame_avg': {'precision': 0.7206864013064808, 'recall': 0.8479340999097552, 'f1': 0.779149035136538}}
0.1; F1=0.807, Pr=0.764, Re=0.854; {'seq_avg': {'precision': 0.7640991363123145, 'recall': 0.8544842893186828, 'f1': 0.8067680628897003}, 'frame_avg': {'precision': 0.7204671594793602, 'recall': 0.8478374946102959, 'f1': 0.7789801169678313}}
0.15; F1=0.806, Pr=0.764, Re=0.854; {'seq_avg': {'precision': 0.7637210898424887, 'recall': 0.8542024068678895, 'f1': 0.8064316940147653}, 'frame_avg': {'precision': 0.7200047734470075, 'recall': 0.8475921246554743, 'f1': 0.7786062557622337}}
0.2; F1=0.806, Pr=0.763, Re=0.853; {'seq_avg': {'precision': 0.7629052104067181, 'recall': 0.8531562323364993, 'f1': 0.8055106293924499}, 'frame_avg': {'precision': 0.7191798892621794, 'recall': 0.8466406301023155, 'f1': 0.7777224874393245}}
0.25; F1=0.804, Pr=0.762, Re=0.852; {'seq_avg': {'precision': 0.7615864624588347, 'recall': 0.8516534415887349, 'f1': 0.8041057380159261}, 'frame_avg': {'precision': 0.7179959067576727, 'recall': 0.8452483477732388, 'f1': 0.7764427755110879}}
0.3; F1=0.802, Pr=0.759, Re=0.850; {'seq_avg': {'precision': 0.759277956001444, 'recall': 0.8495269391603227, 'f1': 0.80187110304504}, 'frame_avg': {'precision': 0.7163052139360685, 'recall': 0.843809262426132, 'f1': 0.7748469530937955}}
0.35; F1=0.798, Pr=0.756, Re=0.846; {'seq_avg': {'precision': 0.7555162355835535, 'recall': 0.8461609122446271, 'f1': 0.7982736196041247}, 'frame_avg': {'precision': 0.7137077046875109, 'recall': 0.8414987899833188, 'f1': 0.7723529601429938}}
0.4; F1=0.792, Pr=0.749, Re=0.840; {'seq_avg': {'precision': 0.7492360125309964, 'recall': 0.8399689221332176, 'f1': 0.792012347988366}, 'frame_avg': {'precision': 0.7093139231562867, 'recall': 0.8375053960587261, 'f1': 0.7680977742693933}}
0.45; F1=0.782, Pr=0.739, Re=0.830; {'seq_avg': {'precision': 0.7389336057010872, 'recall': 0.829623522903714, 'f1': 0.7816568360490169}, 'frame_avg': {'precision': 0.7028867294056967, 'recall': 0.8312418499336703, 'f1': 0.761694779842533}}
0.5; F1=0.767, Pr=0.725, Re=0.815; {'seq_avg': {'precision': 0.7248020335659405, 'recall': 0.8148727596506611, 'f1': 0.7672028351628672}, 'frame_avg': {'precision': 0.6936827216144401, 'recall': 0.8221620361893429, 'f1': 0.7524775818048746}}
